PaymentID,BillID,PaymentMethod,PaymentStatus,PaymentDate,AmountPaid
1,1,Cash,Paid,2025-09-30,4003.74
2,2,UPI,Paid,2026-06-28,4311.26
3,3,Credit Card,Paid,2026-01-31,1866.32
4,4,UPI,Paid,2024-06-12,1354.92
5,5,Debit Card,Paid,2025-11-30,1958.06
6,6,UPI,Paid,2026-07-09,1624.19
7,7,Debit Card,Pending,,0.0
8,8,UPI,Paid,2026-07-06,2016.36
9,9,Insurance,Paid,2025-01-30,2361.48
10,10,Debit Card,Paid,2025-06-23,2670.37
11,11,Insurance,Paid,2025-11-29,2251.38
12,12,UPI,Paid,2025-08-05,2703.3
13,13,Debit Card,Paid,2026-05-20,772.33
14,14,UPI,Paid,2026-07-08,2115.21
15,15,Debit Card,Paid,2024-12-22,3109.59
16,16,Cash,Paid,2026-07-09,1942.05
17,17,UPI,Paid,2026-01-01,2459.93
18,18,Insurance,Paid,2026-07-05,1817.91
19,19,UPI,Paid,2026-07-04,1748.81
20,20,UPI,Paid,2026-07-07,1764.35
21,21,Debit Card,Paid,2026-06-22,1993.18
22,22,Debit Card,Pending,,0.0
23,23,UPI,Refunded,2026-07-08,1322.55
24,24,Insurance,Paid,2026-05-02,2722.98
25,25,Credit Card,Paid,2025-08-04,2457.21
26,26,Debit Card,Paid,2026-06-19,1943.05
27,27,Credit Card,Paid,2026-03-28,3053.33
28,28,Debit Card,Paid,2026-07-05,2470.72
29,29,Debit Card,Paid,2026-01-10,2806.51
30,30,Credit Card,Paid,2024-11-24,2670.38
31,31,Credit Card,Paid,2024-11-14,2340.22
32,32,Cash,Paid,2024-08-05,2296.7
33,33,UPI,Paid,2026-02-16,2881.63
34,34,Debit Card,Paid,2025-12-10,2106.68
35,35,Insurance,Paid,2026-02-13,3170.53
36,36,Debit Card,Paid,2026-07-07,1122.91
37,37,Credit Card,Paid,2025-09-13,2536.53
38,38,Cash,Paid,2025-02-08,3063.28
39,39,Insurance,Pending,,0.0
40,40,Credit Card,Paid,2025-05-26,2128.02
41,41,Insurance,Paid,2026-02-23,2182.18
42,42,Insurance,Paid,2026-07-09,1896.18
43,43,Debit Card,Paid,2026-07-07,1948.42
44,44,UPI,Paid,2026-07-05,2190.2
45,45,UPI,Paid,2026-07-07,2811.12
46,46,Insurance,Paid,2024-02-16,1981.92
47,47,Debit Card,Paid,2025-06-25,2711.42
48,48,Credit Card,Paid,2026-07-08,1602.27
49,49,Cash,Paid,2026-07-05,2205.47
50,50,Insurance,Paid,2025-05-03,1402.37
51,51,UPI,Paid,2026-07-05,3793.2
52,52,Debit Card,Pending,,0.0
53,53,Insurance,Paid,2025-11-11,2638.47
54,54,Credit Card,Refunded,2026-07-08,3118.2
55,55,Cash,Paid,2025-01-22,2120.73
56,56,UPI,Paid,2026-07-07,2534.64
57,57,Insurance,Pending,,0.0
58,58,Credit Card,Paid,2026-07-05,2992.26
59,59,Cash,Paid,2026-02-28,1744.47
60,60,Insurance,Paid,2025-05-12,2257.44
61,61,UPI,Paid,2025-09-27,2724.42
62,62,Cash,Pending,,0.0
63,63,Cash,Paid,2024-11-26,2775.17
64,64,Cash,Paid,2026-01-14,2162.84
65,65,Cash,Paid,2026-07-05,1656.53
66,66,Cash,Paid,2026-07-09,2223.02
67,67,Cash,Paid,2026-07-09,2182.06
68,68,Credit Card,Paid,2026-07-05,1537.5
69,69,Credit Card,Paid,2025-11-14,2665.45
70,70,UPI,Paid,2025-05-12,2317.68
71,71,UPI,Paid,2025-12-10,2145.21
72,72,Debit Card,Paid,2026-07-08,1996.38
73,73,Credit Card,Pending,,0.0
74,74,Credit Card,Paid,2026-07-07,1426.57
75,75,Debit Card,Paid,2026-01-09,2269.4
76,76,UPI,Paid,2026-07-06,2795.79
77,77,Debit Card,Paid,2024-02-02,2381.17
78,78,Insurance,Paid,2026-07-09,2000.33
79,79,Insurance,Paid,2024-10-25,1827.5
80,80,Cash,Paid,2026-07-08,2462.84
81,81,Cash,Paid,2026-07-08,1225.42
82,82,UPI,Paid,2025-04-25,2832.1
83,83,Debit Card,Pending,,0.0
84,84,Debit Card,Paid,2026-07-05,2335.5
85,85,Cash,Paid,2026-05-05,3065.61
86,86,Credit Card,Pending,,0.0
87,87,Debit Card,Paid,2024-02-16,2878.7
88,88,UPI,Pending,,0.0
89,89,Credit Card,Paid,2024-09-07,2364.11
90,90,Debit Card,Paid,2026-07-04,1875.27
91,91,Insurance,Paid,2026-07-09,2876.51
92,92,UPI,Paid,2024-01-26,2187.07
93,93,Insurance,Paid,2024-07-29,1675.43
94,94,Cash,Paid,2026-07-04,1815.75
95,95,Insurance,Paid,2025-07-15,2578.76
96,96,UPI,Pending,,0.0
97,97,Debit Card,Paid,2026-07-06,3128.29
98,98,Cash,Paid,2026-07-07,2764.43
99,99,Insurance,Paid,2023-12-17,2116.98
100,100,Debit Card,Paid,2025-03-19,1259.39
101,101,Credit Card,Refunded,2026-07-08,2343.65
102,102,Insurance,Paid,2026-07-06,1779.62
103,103,Insurance,Paid,2026-07-09,1638.4
104,104,Cash,Paid,2026-07-07,1609.15
105,105,Cash,Paid,2026-02-22,3134.0
106,106,UPI,Paid,2024-05-30,1615.83
107,107,UPI,Paid,2024-10-08,2535.46
108,108,Insurance,Paid,2026-07-08,2775.64
109,109,Debit Card,Pending,,0.0
110,110,Credit Card,Paid,2026-07-04,2002.5
111,111,Credit Card,Paid,2026-07-09,1427.29
112,112,Cash,Paid,2026-07-08,2087.63
113,113,UPI,Paid,2025-10-27,2383.92
114,114,Debit Card,Paid,2025-10-24,2547.89
115,115,Credit Card,Paid,2025-05-13,3075.41
116,116,Credit Card,Paid,2026-07-09,2672.03
117,117,Insurance,Paid,2026-07-04,2608.53
118,118,Debit Card,Paid,2026-07-07,2101.45
119,119,Insurance,Paid,2025-08-01,1353.79
120,120,UPI,Paid,2026-07-08,1257.78
121,121,Credit Card,Paid,2026-07-07,1207.09
122,122,Cash,Paid,2026-07-06,2652.78
123,123,Insurance,Paid,2026-06-20,2222.31
124,124,Credit Card,Paid,2024-05-28,1608.57
125,125,Debit Card,Paid,2025-04-05,3709.79
126,126,Cash,Paid,2025-07-16,2567.07
127,127,UPI,Paid,2026-04-27,2277.44
128,128,Debit Card,Paid,2025-09-23,2312.14
129,129,UPI,Paid,2026-01-17,2278.89
130,130,Credit Card,Paid,2026-07-08,2502.76
131,131,Credit Card,Pending,,0.0
132,132,Cash,Paid,2025-01-10,2233.98
133,133,UPI,Paid,2024-12-19,1922.69
134,134,UPI,Paid,2026-03-05,2792.94
135,135,Insurance,Paid,2026-07-05,1759.75
136,136,Debit Card,Paid,2025-11-26,1389.23
137,137,Credit Card,Paid,2024-09-26,885.85
138,138,Credit Card,Paid,2026-07-06,2432.52
139,139,UPI,Paid,2026-02-03,2510.97
140,140,Cash,Paid,2025-01-06,2159.56
141,141,Cash,Paid,2026-04-07,3154.72
142,142,Cash,Paid,2024-01-09,1286.21
143,143,Cash,Paid,2024-11-06,2578.17
144,144,Debit Card,Paid,2025-12-21,1091.91
145,145,Cash,Paid,2026-07-07,2036.53
146,146,UPI,Paid,2024-04-22,2377.93
147,147,Insurance,Pending,,0.0
148,148,Credit Card,Paid,2026-07-09,1776.65
149,149,Credit Card,Paid,2025-04-23,2224.3
150,150,UPI,Paid,2024-05-16,1552.28
151,151,UPI,Paid,2025-05-14,2765.21
152,152,Cash,Paid,2026-07-04,2756.85
153,153,Insurance,Paid,2025-03-29,1984.42
154,154,Credit Card,Pending,,0.0
155,155,UPI,Paid,2026-07-05,2079.91
156,156,UPI,Paid,2026-07-09,2632.88
157,157,Debit Card,Paid,2026-03-25,2460.89
158,158,Cash,Paid,2024-07-13,2540.76
159,159,UPI,Paid,2026-07-09,2339.79
160,160,Cash,Paid,2026-07-06,2611.21
161,161,Insurance,Paid,2026-07-07,1470.95
162,162,Cash,Paid,2024-01-10,1925.29
163,163,Credit Card,Paid,2026-07-07,2105.74
164,164,Credit Card,Paid,2025-05-19,1715.29
165,165,Credit Card,Paid,2025-10-28,1399.86
166,166,Cash,Paid,2026-07-05,2052.38
167,167,Insurance,Paid,2025-03-01,2617.22
168,168,Cash,Pending,,0.0
169,169,Insurance,Paid,2025-05-31,1768.79
170,170,UPI,Paid,2024-01-17,3403.5
171,171,Insurance,Paid,2026-07-05,1768.11
172,172,Insurance,Paid,2026-07-02,2766.66
173,173,Insurance,Paid,2026-07-09,2115.05
174,174,Cash,Paid,2026-07-08,2140.61
175,175,Cash,Paid,2026-04-14,2561.03
176,176,Cash,Paid,2025-03-18,2268.67
177,177,UPI,Paid,2025-07-12,3551.0
178,178,Insurance,Paid,2026-07-05,1044.97
179,179,UPI,Paid,2025-01-03,2470.45
180,180,Debit Card,Pending,,0.0
181,181,Cash,Paid,2024-04-07,2577.29
182,182,Credit Card,Paid,2026-04-17,1932.04
183,183,Insurance,Paid,2026-07-04,2425.17
184,184,Debit Card,Paid,2025-03-13,3000.38
185,185,Cash,Paid,2026-03-27,1784.92
186,186,Credit Card,Pending,,0.0
187,187,UPI,Paid,2025-07-18,2326.82
188,188,UPI,Paid,2026-04-25,2818.67
189,189,UPI,Paid,2025-04-12,2673.26
190,190,Credit Card,Paid,2026-04-30,2511.19
191,191,Insurance,Paid,2026-05-14,1498.55
192,192,Debit Card,Paid,2026-07-05,3001.3
193,193,Cash,Paid,2026-01-02,3292.48
194,194,Credit Card,Paid,2026-07-04,1857.3
195,195,Cash,Paid,2026-07-04,2710.23
196,196,Insurance,Paid,2025-06-06,4046.03
197,197,Cash,Paid,2025-12-31,1840.93
198,198,Insurance,Paid,2025-06-18,1632.23
199,199,UPI,Pending,,0.0
200,200,Credit Card,Pending,,0.0
201,201,Credit Card,Paid,2026-05-21,2467.38
202,202,UPI,Paid,2025-01-17,3424.81
203,203,Cash,Paid,2026-06-19,1972.02
204,204,UPI,Paid,2023-09-15,3026.47
205,205,Credit Card,Paid,2026-01-06,2275.67
206,206,UPI,Paid,2025-06-27,2160.93
207,207,Insurance,Paid,2024-12-22,2989.42
208,208,Insurance,Paid,2025-02-19,1647.1
209,209,Debit Card,Paid,2026-07-07,3318.64
210,210,Cash,Paid,2026-07-07,2502.94
211,211,Debit Card,Paid,2026-01-12,1846.62
212,212,Cash,Paid,2024-09-08,1433.01
